sample_id,cc.min.diff
LS-15005h_S01_E1-50,0.602641325
LS-15005h_S02_E1-50,0.572263718
LS-15005h_S03_E1-50,0.367978922
LS-15005h_S04_E1-50,0.193402234
LS-15005h_S05_E1-50,0.563195605
LS-15005h_S06_E1-50,0.305179925
LS-15005h_S07_E1-50,0.502461362
LS-15005h_S12_E1-50,0.531217517
LS-15005h_S14_E1-50,0.798305007
LS-15005h_S15_E1-50,0.592321546
LS-15005h_S17_E1-50,0.548184093
LS-15005h_S18_E1-50,0.328375925
LS-15005h_S19_E1-50,0.239420213
LS-15005h_S21_E1-50,0.101078987
LS-15005h_S22_E1-50,0.321322003
LS-15005h_S23_E1-50,0.315845169
LS-15005h_S26_E1-50,0.768695457
LS-15005h_S27_E1-50,0.369281736
LS-15005h_S28_E1-50,0.103767175
LS-15005h_S31_E1-50,0.554767292
LS-15005h_S33_E1-50,0.352752124
LS-15005h_S34_E1-50,0.832047557
LS-15005h_S36_E1-50,0.579115604
LS-15005h_S42_E1-50,0.448741388
LS-15005h_S50_E1-50,0.605958741
LS-15005h_S54_E1-50,0.403117174
LS-15005h_S59_E1-50,0.051784902
LS-15005h_S61_E1-50,0.848603183
LS-15005h_S83_E1-50,0.501446654
LS-15005h_S84_E1-50,0.436978447
LS-15028_S01_E1-50,0.599919042
LS-15028_S03_E1-50,0.644457362
LS-15028_S04_E1-50,0.366203864
LS-15028_S05_E1-50,0.471305833
LS-15028_S06_E1-50,0.234675571
LS-15028_S07_E1-50,0.651299369
LS-15028_S34_E1-50,0.517231207
LS-15028_S35_E1-50,0.36274541
LS-15028_S39_E1-50,0.466939489
LS-15028_S46_E1-50,0.689934588
LS-15028_S47_E1-50,0.49885027
LS-15028_S50_E1-50,0.268989453
LS-15028_S51_E1-50,0.669770647
LS-15028_S52_E1-50,0.092843748
LS-15028_S53_E1-50,0.437720964
LS-15028_S54_E1-50,0.32672581
LS-15028_S58_E1-50,0.502384968
LS-15028_S60_E1-50,0.653728726
LS-15028_S61_E1-50,0.710164578
LS-15028_S74_E1-50,0.854658734
LS-15028_S78_E1-50,0.705793993
LS-15028_S79_E1-50,0.89585041
